hn,date_of_submission,species,submitted_sample,vitek_id,bacteria_genus,report_issued_date,file_id,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole
5807628,2017-04-18,dog,ear mass,GN,pantoea,2017-04-24,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R,S,,S,,S,S,S,R,,S,,R,S,S,,S,S,,,,R,R,S
5809149,2017-11-21,dog,ub mucosa,GN,proteus,2017-11-24,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,S,S,,S,S,S,S,,S,,R,,S,,R,S,,,,R,I,S
5809605,2017-05-03,dog,urine,GN,klebsiella,2017-05-09,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,R,S,,S,S,S,S,,R,-,S,S,R,,I,S,,,,R,S,S
5809935,2017-02-28,dog,urine,GN,proteus,2017-03-03,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,I,,S,S,S,R,,S,,S,,S,,R,S,,,,R,S,R
5811325,2017-06-05,dog,prostate,GN,klebsiella,2017-06-08,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S
5811656,2017-03-14,dog,ub mucosa,GN,escherichia,2017-03-20,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,,I,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S
5811660,2017-11-08,dog,urine,GN,proteus,2017-11-14,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,S,S,,S,S,S,I,,S,,S,,S,,R,S,,,,R,S,S
5813376,2017-10-09,dog,urine,GN,acinetobacter,2017-10-12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,R,R,R,,R,R,R,R,,R,,R,R,R,,R,R,S,,I,R,R,S
5813536,2017-01-17,dog,ub mucosa,GN,proteus,2017-01-21,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,S,I,R,S,,S,S,S,R,,I,,S,,S,,R,S,,,,R,S,R
5813579,2017-10-17,cat,bite wound,GN,pantoea,2017-10-24,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,R,S,,R,,S,S,S,S,,S,,R,S,S,,S,S,,,,S,I,S
5814318,2017-01-31,dog,mass,GN,proteus,2017-02-07,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,I,R,S,,S,S,S,S,,S,,R,,S,,R,R,,,,R,S,S
5814318,2017-01-31,dog,mass,GN,proteus,2017-02-07,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,R,,R,R,I,S,,R,,R,,R,,R,R,,,,R,I,R
