hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id
6300998,2020-03-03,cat,urine,urinary tract,GN,pseudomonas,2020-03-06,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,,,,,,,,,,R,,R,S,I,,,,,,,,,,3201
6205685,2020-03-31,dog,urine,urinary tract,GN,klebsiella,2020-04-06,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,S,R,R,R,R,R,R,R,R,I,+,R,S,R,S,R,,,R,,R,,R,3202
5905181,2020-04-17,dog,Skin Furunculosis/Paniculitis,skin,GN,proteus,2020-04-28,test,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,S,I,S,S,S,S,S,R,S,,S,I,S,S,R,,,S,,R,,S,3203
6101534,2020-04-20,dog,urine,urinary tract,GN,escherichia,2020-04-28,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,R,S,I,S,S,S,S,S,R,-,S,S,R,S,S,,,R,,S,,S,3204
6303820,2020-04-01,cat,urine,urinary tract,GN,ochrobactrum,2020-04-07,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,-,,,,,,,,,,,,,3205
6304302,2020-04-22,cat,chest drain,xxrare,GN,pseudomonas,2020-04-30,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,S,,,,,,,,,,I,,S,S,S,,,,,,,,,,3206
6305258,2020-05-14,dog,urine,urinary tract,GN,acinetobacter,2020-05-25,test,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,S,,,,,,,,,S,S,,S,S,S,,,,,,,S,,S,3207
5914288,2020-05-01,dog,urine,urinary tract,GN,enterobacter,2020-05-07,test,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,S,R,,R,R,R,R,R,S,S,S,,S,S,S,S,S,,,S,,S,,S,3208
Exvetlab (A25),2020-05-13,dog,urine,urinary tract,GN,escherichia,2020-05-21,test,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,S,R,R,R,R,S,S,S,S,R,S,-,S,S,S,S,S,,,S,,R,,R,3209
6116499,2020-05-20,dog,urine,urinary tract,GN,escherichia,2020-05-27,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,S,S,R,R,R,R,R,R,S,S,R,+,S,S,R,S,S,,,R,,R,,R,3210
Exvetlab (A30),2020-05-20,dog,urine,urinary tract,GN,klebsiella,2020-05-27,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,R,R,R,R,R,R,R,R,I,R,+,R,R,R,R,R,,,R,,S,,R,3211
6205685,2020-05-26,dog,urine,urinary tract,GN,klebsiella,2020-05-29,test,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,I,S,R,R,R,R,R,R,R,R,R,+,R,S,R,S,R,,,R,,R,,R,3212
5519961,2020-05-25,dog,urine,urinary tract,GN,escherichia,2020-05-28,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,R,R,R,R,S,R,R,R,R,+,S,S,R,,R,,,,,I,,S,3213
6010585,2020-05-07,dog,abscess,abscess,GN,escherichia,2020-05-12,test,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,S,R,R,R,R,R,R,R,S,R,R,+,S,S,R,S,S,,,R,,R,,R,3214
6304765,2020-04-30,dog,urine,urinary tract,GN,klebsiella,2020-05-07,test,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,R,R,R,R,R,S,S,R,R,R,-,R,S,R,R,R,,,R,,R,,R,3215
6304765,2020-05-04,dog,prostate,urogenital system,GN,escherichia,2020-05-08,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,R,R,R,R,S,R,S,R,R,R,+,S,S,R,S,S,,,R,,R,,R,3216
6304411,2020-05-04,cat,urine,urinary tract,GN,klebsiella,2020-05-12,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,I,R,R,R,R,R,R,I,R,R,+,R,S,R,S,I,,,R,,R,,R,3217
6304189,2020-05-15,cat,opened wound,wound,GN,pseudomonas,2020-05-21,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,R,,R,S,R,,,,,,,,,,3218
6200604,2020-05-19,cat,urine,urinary tract,GN,escherichia,2020-05-21,test,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,S,R,R,S,S,I,S,S,R,S,R,-,S,S,R,S,S,,,R,,S,,S,3219
6304640,2020-04-28,cat,urine,urinary tract,GN,pasteurella,2020-05-05,test,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,S,S,S,,,S,S,S,,S,,S,S,S,S,,,,S,,S,,S,3220
6306529,2020-06-08,dog,urine,urinary tract,GN,proteus,2020-06-11,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,S,S,S,S,S,S,I,R,S,,S,R,S,S,R,,,S,,R,,R,3221
6305770,2020-05-30,dog,synovial fluid,orthopedic,GN,enterobacter,2020-06-05,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,R,,R,R,R,R,R,R,R,R,,S,S,R,S,S,,,R,,R,,R,3222
6306234,2020-06-02,dog,opened wound,wound,GN,citrobacter,2020-06-08,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,,S,S,S,S,S,S,S,S,,S,S,S,S,S,,,S,,S,,S,3223
6304148,2020-05-31,dog,ub mucosa,urinary tract,GN,escherichia,2020-06-05,test,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,S,R,R,R,R,R,R,I,S,R,S,-,S,S,S,S,S,,,I,,R,,R,3224
5917327,2020-06-11,dog,urine,urinary tract,GN,escherichia,2020-06-17,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,R,S,S,S,S,S,S,S,S,-,S,S,S,R,S,,,I,,R,,S,3225
