hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id
เธฃเธเธช.เธชเธธเธงเธฃเธฃเธ“เธเธฒเธ•,2017-11-07,dog,unknown,xxrare,GN,klebsiella,2017-11-10,train,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,R,R,R,R,,R,R,R,S,,R,+,R,S,R,,S,R,,,,S,R,S,822
6113301,2019-02-07,dog,purulent,abscess,GN,proteus,2019-02-13,train,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,S,S,,S,S,S,S,,S,,S,,S,,R,S,,,,R,S,S,1800
6205203,2019-04-22,dog,opened wound,wound,GN,escherichia,2019-04-26,train,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,R,,S,S,S,R,,R,-,S,S,R,,S,R,,,,S,S,R,1984
5804812,2018-08-15,dog,ub mucosa,urinary tract,GN,burkholderia,2018-08-21,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,R,,,,,,,,R,,R,,R,R,R,,,R,,,,R,R,S,1211
5917349,2016-12-14,dog,prostate,urogenital system,GN,achromobacter,2016-12-20,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R,S,R,R,,R,R,R,R,,I,,R,S,R,,R,S,,,,S,I,S,199
6214935,2019-11-16,dog,tonsil swab,oral,GN,acinetobacter,2019-11-21,train,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,S,I,,S,S,I,,,,,,,R,,R,2242
5705329,2018-04-03,dog,urine,urinary tract,GN,escherichia,2018-04-09,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,R,R,,S,S,S,S,,R,-,S,S,R,,S,S,,,,S,S,S,983
6210431,2019-09-11,cat,urine,urinary tract,GN,escherichia,2019-09-17,train,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,S,R,R,R,,S,S,S,S,,S,-,S,S,S,,S,R,,,,R,S,R,2148
5919990,2016-12-21,cat,urine,urinary tract,GN,pseudomonas,2016-12-26,train,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,R,R,R,,R,R,R,R,,R,,I,S,R,,R,I,S,,,R,S,R,225
6114727,2018-11-02,dog,ub mucosa,urinary tract,GN,pseudomonas,2018-11-07,train,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,S,,,,,,,,,,I,,S,I,S,,,S,,,,,S,,1434
